# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
biao xian 	表现	c=1 d=0.105399 t=16526
biao zhun 	标准	c=1 d=0.000194515 t=16526
bie 	别	c=11 d=0.966505 t=16526
bie de 	别的	c=3 d=0.204972 t=16526
bie gen 	别跟	c=1 d=7.56556e-13 t=16526
bie ming 	别名	c=3 d=0.504985 t=16526
bie ren 	别人	c=3 d=0.704688 t=16526
bie shui 	别睡	c=0 d=2.48086e-14 t=16526
bie shui le 	别睡了	c=1 d=2.4933e-13 t=16526
bie tai 	别太	c=0 d=0.0690734 t=16526
bie tai wan 	别太晚	c=1 d=0.694197 t=16526
bing 	兵	c=1 d=6.39823e-12 t=16526
bing 	并	c=6 d=0.579842 t=16526
bing 	病	c=1 d=0.433874 t=16526
bing 	饼	c=1 d=0.000219315 t=16526
bing du 	病毒	c=1 d=0.384812 t=16526
bing qie 	并且	c=2 d=0.366045 t=16526
bing qiu 	冰球	c=1 d=0.364219 t=16526
bing tu 	饼图	c=1 d=0.000893825 t=16526
bing xiang 	冰箱	c=2 d=0.00208081 t=16526
bo 	博	c=1 d=0.0778801 t=16526
bo 	播	c=7 d=0.0115568 t=16526
bo fang 	播放	c=1 d=0.000173384 t=16526
bo hui 	驳回	c=4 d=2.42101 t=16526
bo ke 	博客	c=3 d=1.42587e-13 t=16526
bu 	不	c=28 d=1.80857 t=16526
bu 	布	c=2 d=0.375311 t=16526
bu 	步	c=2 d=0.32628 t=16526
bu an quan 	不安全	c=2 d=0.000110555 t=16526
bu ba 	不把	c=1 d=0.000154549 t=16526
bu ban 	不办	c=2 d=0.0023891 t=16526
bu ban 	补班	c=1 d=0.000418012 t=16526
bu bian 	不便	c=1 d=0.00388746 t=16526
bu bian tai 	不变态	c=1 d=4.88178e-06 t=16526
bu bo 	不播	c=0 d=9.8783e-05 t=16526
bu bo le 	不播了	c=1 d=0.000992781 t=16526
bu cai 	不才	c=0 d=4.94277e-06 t=16526
bu cai shi 	不才是	c=1 d=4.96754e-05 t=16526
bu cheng gong 	不成功	c=0 d=0.0279431 t=16526
bu chong 	不充	c=1 d=0.00236968 t=16526
bu chong 	补充	c=1 d=0.0023935 t=16526
bu chong qian 	不充钱	c=1 d=1.37783e-06 t=16526
bu chu 	不出	c=1 d=0.00516939 t=16526
bu chu 	不处	c=0 d=0.0228779 t=16526
bu chu lai 	不出来	c=1 d=0.574072 t=16526
bu chu li 	不出理	c=1 d=4.00653e-05 t=16526
bu chu li 	不处理	c=1 d=0.229925 t=16526
bu chua li 	不欻理	c=1 d=0.0356146 t=16526
bu chuan 	不传	c=2 d=0.893687 t=16526
bu cun zai 	不存在	c=3 d=0.774916 t=16526
bu cuo 	不错	c=8 d=0.571289 t=16526
bu da 	不打	c=2 d=0.160414 t=16526
bu dai 	不带	c=1 d=0.142274 t=16526
bu dai 	不戴	c=1 d=0.000243596 t=16526
bu dao 	不到	c=2 d=0.379083 t=16526
bu dao 	不道	c=8 d=1.92774 t=16526
bu dao 	补到	c=1 d=0.511709 t=16526
bu de 	不得	c=1 d=4.03978e-14 t=16526
bu diao 	不掉	c=1 d=0.790571 t=16526
bu ding 	补丁	c=1 d=0.436049 t=16526
bu dong 	不懂	c=2 d=0.00786762 t=16526
bu dou 	不都	c=2 d=0.75592 t=16526
bu dou 	布兜	c=1 d=0.235746 t=16526
bu dui 	不对	c=5 d=0.0873526 t=16526
bu dui 	部队	c=3 d=0.0254765 t=16526
bu duo 	不多	c=4 d=0.0120127 t=16526
bu e 	不饿	c=1 d=0.000184106 t=16526
bu fa 	不发	c=3 d=0.00272461 t=16526
bu fang bian 	不方便	c=1 d=0.000109455 t=16526
bu fang jia 	不放假	c=1 d=0.141564 t=16526
bu fen 	部分	c=3 d=0.102797 t=16526
bu gai 	不该	c=2 d=0.0107269 t=16526
bu gan 	不干	c=1 d=0.00726273 t=16526
bu gan 	不敢	c=2 d=0.465334 t=16526
bu gan huo 	不干活	c=1 d=0.142987 t=16526
bu gan jing 	不干净	c=1 d=1.70096e-14 t=16526
bu gan yong 	不敢用	c=1 d=0.00937227 t=16526
bu gei 	不给	c=1 d=0.00594622 t=16526
bu gei dian 	不给点	c=1 d=2.61935e-05 t=16526
bu gei ni 	不给你	c=1 d=0.511709 t=16526
bu gei qian 	不给钱	c=1 d=0.0125254 t=16526
bu gei ren jia 	不给人家	c=1 d=0.00102302 t=16526
bu gei wo 	不给我	c=1 d=0.13466 t=16526
bu gen 	不跟	c=1 d=0.0510474 t=16526
bu geng 	不更	c=1 d=0.000378233 t=16526
bu gou 	不够	c=2 d=0.00170126 t=16526
bu guan 	不管	c=1 d=0.0246002 t=16526
bu guan le 	不管了	c=1 d=0.621885 t=16526
bu guo 	不过	c=21 d=1.21967 t=16526
bu guo lai 	不过来	c=1 d=0.612626 t=16526
bu hai 	不还	c=1 d=0.00348252 t=16526
bu hai shi 	不还是	c=1 d=5.91757e-05 t=16526
bu hao 	不好	c=3 d=0.470838 t=16526
bu hao gao 	不好搞	c=1 d=0.0081887 t=16526
bu hao kan 	不好看	c=1 d=0.000800719 t=16526
bu hao le 	不好了	c=1 d=0.000234044 t=16526
bu hao shuo 	不好说	c=1 d=0.290835 t=16526
bu hao yong 	不好用	c=3 d=0.0898153 t=16526
bu hua suan 	不划算	c=1 d=0.00194013 t=16526
bu hui 	不会	c=15 d=0.532592 t=16526
bu hui 	不回	c=1 d=0.348192 t=16526
bu hui qu 	不会去	c=2 d=0.000132612 t=16526
bu huo 	捕获	c=1 d=0.0139181 t=16526
bu huo dao 	捕获到	c=1 d=0.0120946 t=16526
bu jia 	不加	c=0 d=1.00553e-07 t=16526
bu jia ban 	不加班	c=1 d=1.01057e-06 t=16526
bu jia jia 	不加价	c=1 d=0.0271874 t=16526
bu jian yi 	不建议	c=1 d=9.80699e-07 t=16526
bu jie dong 	不解冻	c=1 d=0.752014 t=16526
bu jie shou 	不接受	c=1 d=0.164474 t=16526
bu jin 	不仅	c=1 d=0.149569 t=16526
bu jin 	不进	c=1 d=0.000383949 t=16526
bu jiu 	不久	c=5 d=0.443039 t=16526
bu jiu hao le 	不就好了	c=1 d=0.0125254 t=16526
bu jiu shi 	不就是	c=2 d=0.404542 t=16526
bu kai qi 	不开启	c=2 d=0.236928 t=16526
bu kan 	不看	c=1 d=0.767206 t=16526
bu kao lv 	不考虑	c=1 d=9.71602e-15 t=16526
bu ke neng 	不可能	c=2 d=0.57695 t=16526
bu ke yi 	不可以	c=1 d=0.00102302 t=16526
bu la 	不拉	c=1 d=0.000188766 t=16526
bu lai 	不来	c=1 d=0.0015333 t=16526
bu le 	不乐	c=7 d=0.662017 t=16526
bu le 	不了	c=6 d=0.126186 t=16526
bu li 	不离	c=1 d=9.42245e-07 t=16526
bu lian wang 	不联网	c=2 d=0.000735471 t=16526
bu liao 	不聊	c=1 d=6.63876e-05 t=16526
bu ma fan 	不麻烦	c=0 d=0.00116786 t=16526
bu mai 	不买	c=2 d=0.0585775 t=16526
bu mai ke 	不买课	c=1 d=0.588605 t=16526
bu man 	不慢	c=1 d=0.000221519 t=16526
bu men 	部门	c=2 d=0.427415 t=16526
bu ming 	不明	c=0 d=0.000794669 t=16526
bu ming tai 	不明太	c=1 d=0.00798652 t=16526
bu neng 	不能	c=19 d=0.924643 t=16526
bu neng yong 	不能用	c=3 d=1.02163 t=16526
bu neng zhe me 	不能这么	c=1 d=0.0125881 t=16526
bu nong le 	不弄了	c=1 d=0.000175127 t=16526
bu pa 	不怕	c=1 d=0.00559994 t=16526
bu qi lai 	不起来	c=0 d=0.000199922 t=16526
bu qing chu 	不清楚	c=1 d=0.913931 t=16526
bu qu 	不去	c=2 d=0.108611 t=16526
bu quan 	补全	c=1 d=1.4962e-05 t=16526
bu que ding 	不确定	c=0 d=0.012307 t=16526
bu ran 	不然	c=16 d=1.06735 t=16526
bu rang 	不让	c=2 d=0.0193323 t=16526
bu rang ni 	不让你	c=1 d=0.00189223 t=16526
bu re 	不热	c=1 d=3.0448e-11 t=16526
bu ru 	不如	c=3 d=0.0194482 t=16526
bu shang 	不上	c=1 d=0.000102566 t=16526
bu shang ban 	不上班	c=5 d=0.198891 t=16526
bu shang lai 	不上来	c=1 d=8.29523e-08 t=16526
bu shang qu 	不上去	c=0 d=0.013068 t=16526
bu shao 	不少	c=5 d=0.67368 t=16526
bu shao qian 	不少钱	c=1 d=3.90761e-05 t=16526
bu shi 	不是	c=65 d=1.49805 t=16526
bu shi yong 	不适用	c=1 d=0.000490542 t=16526
bu shi you 	不是有	c=0 d=0.000621991 t=16526
bu shi you ma 	不是有吗	c=1 d=0.00625109 t=16526
bu shou 	不受	c=1 d=0.0020601 t=16526
bu shou 	不收	c=1 d=0.0202419 t=16526
bu shu 	部署	c=8 d=1.40387 t=16526
bu shu chu 	不输出	c=1 d=4.2345e-09 t=16526
bu shu yu 	不属于	c=1 d=0.357007 t=16526
bu shuai 	不帅	c=1 d=2.93858e-05 t=16526
bu shui 	不睡	c=1 d=2.3465e-05 t=16526
bu shuo 	不说	c=1 d=0.000284437 t=16526
bu shuo hua 	不说话	c=1 d=4.96754e-05 t=16526
bu shuo le 	不说了	c=1 d=0.055299 t=16526
bu suan 	不算	c=1 d=4.66828e-05 t=16526
bu suan xiang 	不算相	c=1 d=0.000461975 t=16526
bu tai 	不太	c=6 d=0.0792617 t=16526
bu tai dong 	不太懂	c=1 d=0.000518277 t=16526
bu tai hao 	不太好	c=3 d=0.460704 t=16526
bu tai hui 	不太会	c=2 d=0.000197655 t=16526
bu tai xiang 	不太想	c=1 d=0.0485578 t=16526
bu ti 	不提	c=1 d=0.00117675 t=16526
bu tian 	不填	c=1 d=0.0572688 t=16526
bu ting 	不停	c=1 d=0.000261259 t=16526
bu tong 	不同	c=6 d=0.312386 t=16526
bu tui 	不退	c=1 d=9.61117e-05 t=16526
bu tui jian 	不推荐	c=2 d=1.37612e-05 t=16526
bu wen 	不稳	c=1 d=0.00199922 t=16526
bu wen 	不问	c=0 d=1.22857e-11 t=16526
bu wen ni 	不问你	c=1 d=1.23473e-10 t=16526
bu xi 	不惜	c=0 d=0.000123091 t=16526
bu xi han guo 	不惜韩国	c=1 d=0.00123708 t=16526
bu xia lai 	不下来	c=1 d=0.00235786 t=16526
bu xian shi 	不显示	c=3 d=0.128501 t=16526
bu xian shi 	不现实	c=1 d=0.0596059 t=16526
bu xiang 	不想	c=4 d=0.0155297 t=16526
bu xiang zhao 	不想找	c=1 d=0.00241755 t=16526
bu xiang zuo 	不想做	c=1 d=0.0871609 t=16526
bu xiao 	不小	c=1 d=0.138761 t=16526
bu xiao hua 	不消化	c=1 d=8.78394e-05 t=16526
bu xing 	不行	c=23 d=0.980552 t=16526
bu xing 	步行	c=1 d=5.17203e-09 t=16526
bu xing ma 	不行吗	c=1 d=0.0144076 t=16526
bu xiu xi 	不休息	c=1 d=1.32039e-05 t=16526
bu xu yao 	不需要	c=13 d=0.575773 t=16526
bu yan zheng 	不验证	c=2 d=0.000963223 t=16526
bu yao 	不要	c=8 d=1.18036 t=16526
bu yao lian 	不要脸	c=1 d=0.00109719 t=16526
bu yao qian 	不要钱	c=1 d=0.273898 t=16526
bu ye 	不也	c=1 d=0.00775203 t=16526
bu ye yao 	不也要	c=1 d=0.0263839 t=16526
bu yi ding 	不一定	c=3 d=0.176476 t=16526
bu yi yang 	不一样	c=4 d=0.697837 t=16526
bu yi zhi 	不一致	c=1 d=0.000122182 t=16526
bu ying gai 	不应该	c=2 d=0.352652 t=16526
bu ying xiang 	不影响	c=2 d=0.000256085 t=16526
bu yong 	不用	c=11 d=1.20419 t=16526
bu yong ou guan 	不用欧冠	c=1 d=0.000633025 t=16526
bu yun xu 	不允许	c=2 d=0.136014 t=16526
bu zai 	不再	c=1 d=0.0578443 t=16526
bu zai 	不在	c=1 d=4.06003e-14 t=16526
bu zhang 	不涨	c=1 d=9.09837e-07 t=16526
bu zhao 	不找	c=2 d=0.140858 t=16526
bu zheng qian 	不挣钱	c=1 d=0.0018734 t=16526
bu zhi 	不止	c=2 d=0.67372 t=16526
bu zhi chi 	不支持	c=1 d=0.00628242 t=16526
bu zhi dao 	不知道	c=27 d=0.874016 t=16526
bu zhi shi 	不只是	c=1 d=0.045275 t=16526
bu zhong shi 	不重视	c=1 d=0.0695994 t=16526
bu zhong yao 	不重要	c=1 d=0.918512 t=16526
bu zhou 	步骤	c=2 d=0.597501 t=16526
bu zi 	步子	c=0 d=2.96095e-07 t=16526
bu zi dao 	步子到	c=1 d=2.97579e-06 t=16526
bu zi xi 	不仔细	c=1 d=0.00165327 t=16526
bu zu 	不足	c=2 d=0.0792617 t=16526
bu zuo 	不做	c=1 d=0.0191587 t=16526
bu zuo ren 	不做人	c=2 d=0.479505 t=16526
bu zuo wei 	不作为	c=1 d=0.394554 t=16526
c 	℃	c=3 d=0.00432064 t=16526
c zao u o 	℃早∪哦	c=1 d=1.68289e-06 t=16526
cai 	才	c=14 d=0.725354 t=16526
cai 	猜	c=1 d=0.00504176 t=16526
cai 	菜	c=2 d=1.01393 t=16526
cai 	蔡	c=0 d=0.0323033 t=16526
cai 	裁	c=1 d=0.402524 t=16526
cai 	财	c=1 d=0.00499159 t=16526
cai dan 	菜单	c=13 d=0.472685 t=16526
cai gou 	采购	c=2 d=0.0277369 t=16526
cai gou dan 	采购单	c=2 d=0.26875 t=16526
cai hui 	才会	c=2 d=0.0333733 t=16526
cai ke yong 	才可用	c=1 d=1.6453e-05 t=16526
cai li 	彩礼	c=3 d=0.000245175 t=16526
cai liao 	材料	c=2 d=0.221109 t=16526
cai neng 	才能	c=4 d=0.116262 t=16526
cai neng yong 	才能用	c=1 d=0.0267827 t=16526
cai niao 	菜鸟	c=2 d=0.00186406 t=16526
cai se 	彩色	c=1 d=0.869358 t=16526
cai shi 	才是	c=2 d=0.412714 t=16526
cai shuai 	才帅	c=1 d=0.733447 t=16526
cai shui 	才睡	c=1 d=0.737123 t=16526
cai wu 	财务	c=15 d=0.883458 t=16526
cai xing 	才行	c=3 d=0.00334613 t=16526
cai xu kun 	蔡徐坤	c=2 d=0.324652 t=16526
cai you 	才有	c=2 d=0.158887 t=16526
cai yun 	彩云	c=5 d=0.88692 t=16526
cai zhi dao 	才知道	c=1 d=0.0934807 t=16526
can che 	餐车	c=1 d=2.38196e-05 t=16526
can kao 	参考	c=4 d=0.00152411 t=16526
can liu 	残留	c=4 d=0.0714891 t=16526
can shu 	参数	c=19 d=1.20353 t=16526
can yu 	参与	c=1 d=0.00404611 t=16526
cang 	仓	c=1 d=0.0925793 t=16526
cang ku 	仓库	c=3 d=0.111361 t=16526
cao 	曹	c=2 d=0.415297 t=16526
cao 	艹	c=5 d=0.257947 t=16526
cao gao 	草稿	c=1 d=3.02282e-14 t=16526
cao xin 	曹新	c=0 d=0.0346456 t=16526
cao xin yu 	曹新宇	c=20 d=2.13338 t=16526
cao zuo 	操作	c=24 d=0.603465 t=16526
cd 	㏅	c=3 d=0.00477281 t=16526
ce 	测	c=5 d=0.211189 t=16526
ce lve 	策略	c=2 d=0.00343067 t=16526
ce shi 	测试	c=36 d=1.94474 t=16526
ce shi ce shi 	测试测试	c=1 d=7.96861e-06 t=16526
ce su 	测速	c=3 d=0.406446 t=16526
ce suo 	厕所	c=1 d=0.00109719 t=16526
ceng 	层	c=2 d=0.414783 t=16526
ceng ji 	层级	c=1 d=0.118837 t=16526
cha 	差	c=6 d=0.250469 t=16526
cha 	插	c=1 d=1.15943e-05 t=16526
cha 	查	c=8 d=0.397733 t=16526
cha 	茶	c=2 d=0.00229965 t=16526
cha bie 	差别	c=1 d=4.29704e-05 t=16526
cha bu duo 	差不多	c=4 d=0.231087 t=16526
cha cha 	查查	c=2 d=0.0728029 t=16526
cha ci 	查词	c=1 d=0.344728 t=16526
cha dao 	查到	c=1 d=0.244143 t=16526
cha de dao 	查得到	c=1 d=0.263158 t=16526
cha dian 	差点	c=5 d=0.0323892 t=16526
cha gou 	茶垢	c=1 d=0.00263203 t=16526
cha guo 	查过	c=2 d=0.425283 t=16526
cha guo ka 	查过卡	c=1 d=1.15364e-05 t=16526
cha jia 	差价	c=1 d=0.000587285 t=16526
cha jian 	插件	c=16 d=3.30128 t=16526
cha ka 	插卡	c=3 d=3.65219e-05 t=16526
cha kan 	查看	c=4 d=0.602461 t=16526
cha le 	差了	c=1 d=0.0160027 t=16526
cha ru 	插入	c=4 d=0.882497 t=16526
cha sheng 	差生	c=1 d=3.09724e-06 t=16526
cha xun 	查询	c=2 d=7.04928e-05 t=16526
cha ye 	茶叶	c=1 d=0.00012465 t=16526
cha zhao 	查找	c=2 d=0.0156858 t=16526
chai 	拆	c=1 d=0.00285124 t=16526
chai fen 	拆分	c=1 d=0.0109436 t=16526
chai jing 	柴静	c=1 d=0.010889 t=16526
chan dao 	禅道	c=1 d=0.000880518 t=16526
chan dao 	铲倒	c=1 d=0.000876127 t=16526
chan pin 	产品	c=7 d=0.325545 t=16526
chan ping 	铲平	c=0 d=0.00780817 t=16526
chan ping ou tong 	铲平欧通	c=1 d=0.0784731 t=16526
chan sheng 	产生	c=1 d=0.212248 t=16526
chang 	唱	c=2 d=2.79324e-13 t=16526
chang 	场	c=1 d=7.30037e-05 t=16526
chang 	长	c=6 d=0.663019 t=16526
chang du 	长度	c=7 d=0.995626 t=16526
chang duan 	长短	c=0 d=4.62054e-07 t=16526
chang duan luo 	长短罗	c=1 d=4.6437e-06 t=16526
chang hong 	长虹	c=1 d=0.0561348 t=16526
chang jing 	场景	c=2 d=0.109154 t=16526
chang le 	唱了	c=1 d=1.45296e-13 t=16526
chang li 	厂里	c=1 d=0.00538036 t=16526
chang shang 	厂商	c=8 d=0.101342 t=16526
chang shi 	尝试	c=2 d=0.000949097 t=16526
chang tu 	长途	c=1 d=2.19353e-06 t=16526
chang wen 	常温	c=1 d=0.00104368 t=16526
chang xiu 	长袖	c=1 d=5.20964e-06 t=16526
chang yong 	常用	c=4 d=0.105399 t=16526
chao 	抄	c=2 d=0.108067 t=16526
chao 	潮	c=2 d=0.384812 t=16526
chao cai 	炒菜	c=1 d=0.165299 t=16526
chao ge 	潮哥	c=2 d=0.392586 t=16526
chao guan 	朝官	c=1 d=0.0765355 t=16526
